项目名称,状态,项目名称2,空,日期,来源,aihelp链接,处理信息
【2.1.60全服】：【AI开单】购买皮肤后收藏币未到账 (aihelp:YSLFWW),定位中未修复,【2.1.60全服】：【AI开单】购买皮肤后收藏币未到账 (aihelp:YSLFWW),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YSLFWW,
【2.1.60全服】：【AI开单】星海收藏家功能失效与收藏商店兑换异常 (aihelp:YS99FZ),定位中未修复,【2.1.60全服】：【AI开单】星海收藏家功能失效与收藏商店兑换异常 (aihelp:YS99FZ),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS99FZ,活动配置错误，已修改
【2.1.60全服】：【AI开单】赛季结算段位重置逻辑错误 (aihelp:YS2G95),定位中未修复,【2.1.60全服】：【AI开单】赛季结算段位重置逻辑错误 (aihelp:YS2G95),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS2G95,客诉单中的结论：赛季重置了，所有段位均会按照一定的逻辑折损，逐个排查后，重置的段位均符合预期赛季回归中，名次是显示最后1榜的名次，后续会优化
【2.1.60全服】：【AI开单】赛季结算时50星奖励未发放 (aihelp:YS2TLE),定位中未修复,【2.1.60全服】：【AI开单】赛季结算时50星奖励未发放 (aihelp:YS2TLE),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YS2TLE,赛季结算奖励邮件延迟一个小时补发+需要重新登录
【2.1.62测服】：【AI开单】服务器切换时资源下载进度异常卡在40% (aihelp:YLR6B6),定位中未修复,【2.1.62测服】：【AI开单】服务器切换时资源下载进度异常卡在40% (aihelp:YLR6B6),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YLR6B6,这个客诉有俩个问题，一个是极高配玩家增量重复下载，这个问题64修复第二个问题是切换区服时，玩家反馈重复更新了，这个是因为本周测服有两个紧急版本，部分区服版本号是不一致的，玩家在测服切服就会重新解压包体和再次更新，属于设计如此
【2.1.62测服】：【AI开单】战斗表情在局内无法使用 (aihelp:YLFSPE),定位中未修复,【2.1.62测服】：【AI开单】战斗表情在局内无法使用 (aihelp:YLFSPE),,2026/03/12,BugGarage,,
【2.1.62测服】：【AI开单】摇杆和普通攻击按钮功能失效 (aihelp:YL59WB),定位中未修复,【2.1.62测服】：【AI开单】摇杆和普通攻击按钮功能失效 (aihelp:YL59WB),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YL59WB,查到玩家对局网络极差，建议网络正常在尝试下
【2.1.62测服】：【AI开单】登录后资源重复下载 (aihelp:YLUKNG),定位中未修复,【2.1.62测服】：【AI开单】登录后资源重复下载 (aihelp:YLUKNG),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YLUKNG,62之前的反馈里，定位到一个已知问题，极高配用户会重复下载增量资源，这个问题64修复今天的反馈，大部分是说又要更新或者是切服后又要重新更新，这个是因为测服昨天部分区服更新了1176.2和1176.3，不同版本的区服之前切换也会触发解压重复更新，这个机制就是如此。算是测服多版本带来的玩家体验受损
【40.2全服】：【AI开单】防御塔攻击机制异常 - 敌方英雄进入塔内不被攻击 (aihelp:YQE323),定位中未修复,【40.2全服】：【AI开单】防御塔攻击机制异常 - 敌方英雄进入塔内不被攻击 (aihelp:YQE323),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YQE323,看了战斗重播，战斗重播中防御塔都是正常攻击敌方目标的，表现正常
【40.2全服】：【AI开单】鑽石周卡购买后消失问题 (aihelp:YYJ67E),定位中未修复,【40.2全服】：【AI开单】鑽石周卡购买后消失问题 (aihelp:YYJ67E),,2026/03/12,BugGarage,https://ml.aihelp.net/dashboard/#/newpage-ticket/?queryType=11&tId=YYJ67E,反馈玩家看起来都是正常领取钻石周卡奖励
